species,their,default,onset
Rosemary,1.185,2.32,1.8650000000000002
Ruda,0.436,0.473,0.002200000000000202
Ruda,1.543,1.382,1.4524000000000008
Ruda,2.662,2.116,3.4605999999999995
Ruda,2.389,2.01,1.870400000000001
Ruda,1.263,0.969,1.4198000000000004
Ruda,0.998,0.859,3.832799999999999
Ruda,3.965,3.149,1.5704000000000002
Ruda,2.221,2.945,0.17220000000000013
Ruda,0.687,0.49,0.5373999999999999
Ruda,0.849,0.025,0.04180000000000028
Ruda,0.628,0.499,0.4521999999999995
Ruda,4.088,4.016,0.641
Ruda,0.831,0.65,0.020000000000000462
Ruda,0.955,0.319,0.9204000000000008
Sensitive Mimosa,0.98,0.485,0.09200000000000053
Sensitive Mimosa,1.044,1.009,0.02179999999999982
Sensitive Mimosa,1.184,1.264,0.0007999999999999119
Sensitive Mimosa,1.339,1.467,3.8854000000000006
Sensitive Mimosa,1.104,1.296,0.22380000000000022
Sensitive Mimosa,0.374,12.267,1.4386000000000005
Sensitive Mimosa,0.934,0.985,2.4060000000000006
Sensitive Mimosa,0.636,0.686,1.0488
Sensitive Mimosa,0.483,0.441,1.7088
Sensitive Mimosa,0.211,0.007,1.8234
Sensitive Mimosa,0.316,1.963,0.5984
Sensitive Mimosa,0.241,0.087,4.935600000000001
Sensitive Mimosa,0.341,0.094,8.048193900752443
Sensitive Mimosa,0.216,0.12,7.2512833735730515
Sensitive Mimosa,0.335,1.756,2.5122477204003655
Sensitive Mimosa,0.859,0.865,2.5499167858231173
Sensitive Mimosa,0.942,0.942,2.2196385457443566
Sensitive Mimosa,1.887,1.715,1.3223084315885703
Tomato,0.391,0.148,0.008399999999999963
Tomato,0.694,0.606,0.0036000000000004917
Tomato,1.078,1.257,4.8232
Tomato,0.867,0.784,0.06460000000000043
Tomato,5.023,4.842,1.1662
Tomato,1.89,1.473,0.04519999999999991
Venus Flytrap,0.504,0.406,0.2682000000000002
Venus Flytrap,0.404,0.538,3.0405999999999995
Venus Flytrap,0.076,0.593,4.679600000000001
Venus Flytrap,0.518,0.452,1.6368
Venus Flytrap,0.186,0.303,0.20979999999999954
Venus Flytrap,0.2018,0.301,0.6245999999999992
Venus Flytrap,0.43,0.381,7.9498
Venus Flytrap,0.342,0.379,0.22860000000000014
Venus Flytrap,0.283,0.259,3.4592000000000005
Venus Flytrap,0.218,0.449,0.31540000000000035
Venus Flytrap,0.267,0.14,8.911
Venus Flytrap,0.286,0.795,0.0589297016009942
Venus Flytrap,0.277,2.321,16.285389465788427
Venus Flytrap,0.443,0.323,5.428424087574132
Venus Flytrap,0.322,0.145,2.1854621316893654
Venus Flytrap,0.659,0.485,0.28042005578866025
